HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_17978	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_19606_RS	Acinetobacter_baumannii_AB30	Acinetobacter_baumannii_AB30_RS
N0.HOG0002156	OG0002080	n0	A1S_2536	GO593_01830	GO593_RS01830	IX87_09345	IX87_RS09125
N0.HOG0002157	OG0002081	n0	A1S_2537	GO593_01835	GO593_RS01835	IX87_09350	IX87_RS09130
N0.HOG0002158	OG0002082	n0	A1S_2538	GO593_01840	GO593_RS01840	IX87_09355	IX87_RS09135
N0.HOG0002159	OG0002083	n0	A1S_2539	GO593_01845	GO593_RS01845	IX87_09360	IX87_RS09140
N0.HOG0002160	OG0002084	n0	A1S_2540	GO593_01850	GO593_RS01850	IX87_09365	IX87_RS09145
N0.HOG0002161	OG0002085	n0	A1S_2542	GO593_01855	GO593_RS01855	IX87_09370	IX87_RS09150
N0.HOG0002162	OG0002086	n0	A1S_2543	GO593_01860	GO593_RS01860	IX87_09375	IX87_RS09155
N0.HOG0002163	OG0002087	n0	A1S_2544	GO593_01865	GO593_RS01865	IX87_09380	IX87_RS09160
N0.HOG0002164	OG0002088	n0	A1S_2545	GO593_01870	GO593_RS01870	IX87_09385	IX87_RS09165
N0.HOG0002165	OG0002089	n0	A1S_2546	GO593_01875	GO593_RS01875	IX87_09390	IX87_RS09170
N0.HOG0002166	OG0002090	n0	A1S_2547	GO593_01880	GO593_RS01880	IX87_09395	IX87_RS09175
N0.HOG0002167	OG0002091	n0	A1S_2549	GO593_01890	GO593_RS01890	IX87_09405	IX87_RS09185
N0.HOG0002168	OG0002092	n0	A1S_2579	GO593_16390	GO593_RS16390	IX87_19695	IX87_RS19335
N0.HOG0002169	OG0002093	n0	A1S_3039, A1S_2582	GO593_03965	GO593_RS03965		IX87_RS11630
N0.HOG0002170	OG0002094	n0	A1S_2584	GO593_01895	GO593_RS01895	IX87_09415	IX87_RS09195
N0.HOG0002171	OG0002095	n0	A1S_2585	GO593_01900	GO593_RS01900	IX87_09420	IX87_RS09200
N0.HOG0002172	OG0002096	n0	A1S_2586	GO593_01905	GO593_RS01905	IX87_09425	IX87_RS09205
N0.HOG0002173	OG0002097	n0	A1S_2587	GO593_01910	GO593_RS01910	IX87_09430	IX87_RS09210
N0.HOG0002174	OG0002098	n0	A1S_2588	GO593_01915	GO593_RS01915	IX87_09435	IX87_RS09215
N0.HOG0002175	OG0002099	n0	A1S_2590	GO593_01925	GO593_RS01925	IX87_09445	IX87_RS09225
N0.HOG0002176	OG0002100	n0	A1S_2591	GO593_01930	GO593_RS01930	IX87_09450	IX87_RS09230
N0.HOG0002177	OG0002101	n0	A1S_2592	GO593_01935	GO593_RS01935	IX87_09455	IX87_RS09235
N0.HOG0002178	OG0002102	n0	A1S_2593	GO593_01940	GO593_RS01940	IX87_09460	IX87_RS09240
N0.HOG0002179	OG0002103	n0	A1S_2594	GO593_01945	GO593_RS01945	IX87_09465	IX87_RS09245
N0.HOG0002180	OG0002104	n0	A1S_2595	GO593_01950	GO593_RS01950	IX87_09470	IX87_RS09250
N0.HOG0002181	OG0002105	n0	A1S_2596	GO593_01960	GO593_RS01960	IX87_09480	IX87_RS09260
N0.HOG0002182	OG0002106	n0	A1S_2597	GO593_01965	GO593_RS01965	IX87_09485	IX87_RS09265
N0.HOG0002183	OG0002107	n0	A1S_2598	GO593_01970	GO593_RS01970	IX87_09490	IX87_RS09270
N0.HOG0002184	OG0002108	n0	A1S_2599	GO593_01975	GO593_RS01975	IX87_09495	IX87_RS09275
N0.HOG0002185	OG0002109	n0	A1S_2600	GO593_01980	GO593_RS01980	IX87_09500	IX87_RS09280
N0.HOG0002186	OG0002110	n0	A1S_2601	GO593_01985	GO593_RS01985	IX87_09505	IX87_RS09285
N0.HOG0002187	OG0002111	n0	A1S_2603	GO593_01995	GO593_RS01995	IX87_09525	IX87_RS09305
N0.HOG0002188	OG0002112	n0	A1S_2604	GO593_02000	GO593_RS02000	IX87_09530	IX87_RS09310
N0.HOG0002189	OG0002113	n0	A1S_2605	GO593_02005	GO593_RS02005	IX87_09535	IX87_RS09315
N0.HOG0002190	OG0002114	n0	A1S_2606	GO593_02010	GO593_RS02010	IX87_09540	IX87_RS09320
N0.HOG0002191	OG0002115	n0	A1S_2607	GO593_02015	GO593_RS02015	IX87_09545	IX87_RS09325
N0.HOG0002192	OG0002116	n0	A1S_2608	GO593_02020	GO593_RS02020	IX87_09550	IX87_RS09330
N0.HOG0002193	OG0002117	n0	A1S_2609	GO593_02025	GO593_RS02025	IX87_09555	IX87_RS09335
N0.HOG0002194	OG0002118	n0	A1S_2610	GO593_02030	GO593_RS02030	IX87_09560	IX87_RS09340
N0.HOG0002195	OG0002119	n0	A1S_2611	GO593_02035	GO593_RS02035	IX87_09565	IX87_RS09345
N0.HOG0002196	OG0002120	n0	A1S_2613	GO593_02040	GO593_RS02040	IX87_09570	IX87_RS09350
N0.HOG0002197	OG0002121	n0	A1S_2614	GO593_02045	GO593_RS02045	IX87_09575	IX87_RS09355
N0.HOG0002198	OG0002122	n0	A1S_2615	GO593_02050	GO593_RS02050	IX87_09580	IX87_RS09360
N0.HOG0002199	OG0002123	n0	A1S_2616	GO593_02055	GO593_RS02055	IX87_09585	IX87_RS09365
N0.HOG0002200	OG0002124	n0	A1S_2617	GO593_02060	GO593_RS02060	IX87_09590	IX87_RS09370
N0.HOG0002201	OG0002125	n0	A1S_2619	GO593_02065	GO593_RS02065	IX87_09595	IX87_RS09375
N0.HOG0002202	OG0002126	n0	A1S_2620	GO593_02070	GO593_RS02070	IX87_09600	IX87_RS09380
N0.HOG0002203	OG0002127	n0	A1S_2621	GO593_02075	GO593_RS02075	IX87_09605	IX87_RS09385
N0.HOG0002204	OG0002128	n0	A1S_2622	GO593_02080	GO593_RS02080	IX87_09610	IX87_RS09390
N0.HOG0002205	OG0002129	n0	A1S_2623	GO593_02085	GO593_RS02085	IX87_09615	IX87_RS09395
N0.HOG0002206	OG0002130	n0	A1S_2624	GO593_02090	GO593_RS02090	IX87_09620	IX87_RS09400
N0.HOG0002207	OG0002131	n0	A1S_2626	GO593_02105	GO593_RS02105	IX87_09635	IX87_RS09415
N0.HOG0002208	OG0002132	n0	A1S_2627	GO593_02110	GO593_RS02110	IX87_09640	IX87_RS09420
N0.HOG0002209	OG0002133	n0	A1S_2628	GO593_02115	GO593_RS02115	IX87_09645	IX87_RS09425
N0.HOG0002210	OG0002134	n0	A1S_2630	GO593_02125	GO593_RS02125	IX87_09655	IX87_RS09435
N0.HOG0002211	OG0002135	n0	A1S_2631	GO593_02140	GO593_RS02140	IX87_09660	IX87_RS09440
N0.HOG0002212	OG0002136	n0	A1S_2634	GO593_02160	GO593_RS02160	IX87_09680	IX87_RS09460
N0.HOG0002213	OG0002137	n0	A1S_2635	GO593_02165	GO593_RS02165	IX87_09685	IX87_RS09465
N0.HOG0002214	OG0002138	n0	A1S_2636	GO593_02170	GO593_RS02170	IX87_09690	IX87_RS09470
N0.HOG0002215	OG0002139	n0	A1S_2637	GO593_02175	GO593_RS02175	IX87_09695	IX87_RS09475
N0.HOG0002216	OG0002140	n0	A1S_2638	GO593_02180	GO593_RS02180	IX87_09700	IX87_RS09480
N0.HOG0002217	OG0002141	n0	A1S_2639	GO593_02185	GO593_RS02185	IX87_09705	IX87_RS09485
N0.HOG0002218	OG0002142	n0	A1S_2640	GO593_02190	GO593_RS02190	IX87_09710	IX87_RS09490
N0.HOG0002219	OG0002143	n0	A1S_2641	GO593_02195	GO593_RS02195	IX87_09715	IX87_RS09495
N0.HOG0002220	OG0002144	n0	A1S_2642	GO593_02200	GO593_RS02200	IX87_09720	IX87_RS09500
N0.HOG0002221	OG0002145	n0	A1S_2643	GO593_02205	GO593_RS02205	IX87_09725	IX87_RS09505
N0.HOG0002222	OG0002146	n0	A1S_2644	GO593_02210	GO593_RS02210	IX87_09730	IX87_RS09510
N0.HOG0002223	OG0002147	n0	A1S_2651	GO593_02235	GO593_RS02235	IX87_09790	IX87_RS09565
N0.HOG0002224	OG0002148	n0	A1S_2653	GO593_02250	GO593_RS02250	IX87_09805	IX87_RS09580
N0.HOG0002225	OG0002149	n0	A1S_2654	GO593_02255	GO593_RS02255	IX87_09810	IX87_RS09585
N0.HOG0002226	OG0002150	n0	A1S_2655	GO593_02260	GO593_RS02260	IX87_09815	IX87_RS09590
N0.HOG0002227	OG0002151	n0	A1S_2656	GO593_02265	GO593_RS02265	IX87_09820	IX87_RS09595
N0.HOG0002228	OG0002152	n0	A1S_2657	GO593_02270	GO593_RS02270	IX87_09825	IX87_RS09600
N0.HOG0002229	OG0002153	n0	A1S_2658	GO593_02275	GO593_RS02275	IX87_09830	IX87_RS09605
N0.HOG0002230	OG0002154	n0	A1S_2659	GO593_02280	GO593_RS02280	IX87_09835	IX87_RS09610
N0.HOG0002231	OG0002155	n0	A1S_2660	GO593_02285	GO593_RS02285	IX87_09840	IX87_RS09615
N0.HOG0002232	OG0002156	n0	A1S_2661	GO593_02290	GO593_RS02290	IX87_09845	IX87_RS09620
N0.HOG0002233	OG0002157	n0	A1S_2662	GO593_02295	GO593_RS02295	IX87_09850	IX87_RS09625
N0.HOG0002234	OG0002158	n0	A1S_2663	GO593_02300	GO593_RS02300	IX87_09855	IX87_RS09630
N0.HOG0002235	OG0002159	n0	A1S_2664	GO593_02305	GO593_RS02305	IX87_09860	IX87_RS09635
N0.HOG0002236	OG0002160	n0	A1S_2665	GO593_02310	GO593_RS02310	IX87_09865	IX87_RS09640
N0.HOG0002237	OG0002161	n0	A1S_2666	GO593_02320	GO593_RS02320	IX87_09875	IX87_RS09650
N0.HOG0002238	OG0002162	n0	A1S_2667	GO593_02325	GO593_RS02325	IX87_09880	IX87_RS09655
N0.HOG0002239	OG0002163	n0	A1S_2668	GO593_02330	GO593_RS02330	IX87_09885	IX87_RS09660
N0.HOG0002240	OG0002164	n0	A1S_2669	GO593_02335	GO593_RS02335	IX87_09890	IX87_RS09665
N0.HOG0002241	OG0002165	n0	A1S_2670	GO593_02340	GO593_RS02340	IX87_09895	IX87_RS09670
N0.HOG0002242	OG0002166	n0	A1S_2671	GO593_02345	GO593_RS02345	IX87_09900	IX87_RS09675
N0.HOG0002243	OG0002167	n0	A1S_2672	GO593_02350	GO593_RS02350	IX87_09905	IX87_RS09680
N0.HOG0002244	OG0002168	n0	A1S_2673	GO593_02355	GO593_RS02355	IX87_09910	IX87_RS09685
N0.HOG0002245	OG0002169	n0	A1S_2674	GO593_02360	GO593_RS02360	IX87_09915	IX87_RS09690
N0.HOG0002246	OG0002170	n0	A1S_2677	GO593_02375	GO593_RS02375	IX87_09935	IX87_RS09705
N0.HOG0002247	OG0002171	n0	A1S_2679	GO593_02390	GO593_RS02390	IX87_09950	IX87_RS09720
N0.HOG0002248	OG0002172	n0	A1S_2680	GO593_02395	GO593_RS02395	IX87_09955	IX87_RS09725
N0.HOG0002249	OG0002173	n0	A1S_2681	GO593_02400	GO593_RS02400	IX87_09960	IX87_RS09730
N0.HOG0002250	OG0002174	n0	A1S_2682	GO593_02405	GO593_RS02405	IX87_09965	IX87_RS09735
N0.HOG0002251	OG0002175	n0	A1S_2683	GO593_02410	GO593_RS02410	IX87_09970	IX87_RS09740
N0.HOG0002252	OG0002176	n0	A1S_2684	GO593_02415	GO593_RS02415	IX87_09975	IX87_RS09745
N0.HOG0002253	OG0002177	n0	A1S_2686	GO593_02425	GO593_RS02425	IX87_09985	IX87_RS09755
N0.HOG0002254	OG0002178	n0	A1S_2687	GO593_02430	GO593_RS02430	IX87_09990	IX87_RS09760
N0.HOG0002255	OG0002179	n0	A1S_2688	GO593_02435	GO593_RS02435	IX87_09995	IX87_RS09765
N0.HOG0002256	OG0002180	n0	A1S_2691	GO593_02440	GO593_RS02440	IX87_10000	IX87_RS09770
N0.HOG0002257	OG0002181	n0	A1S_2692	GO593_02445	GO593_RS02445	IX87_10005	IX87_RS09775
N0.HOG0002258	OG0002182	n0	A1S_2693	GO593_02450	GO593_RS02450	IX87_10010	IX87_RS09780
N0.HOG0002259	OG0002183	n0	A1S_2694	GO593_02460	GO593_RS02460	IX87_10020	IX87_RS09790
N0.HOG0002260	OG0002184	n0	A1S_2696	GO593_02470	GO593_RS02470	IX87_10045	IX87_RS22220
N0.HOG0002261	OG0002185	n0	A1S_2697	GO593_02625	GO593_RS02625	IX87_10200	IX87_RS09965
N0.HOG0002262	OG0002186	n0	A1S_2698	GO593_02620	GO593_RS02620	IX87_10195	IX87_RS09960
N0.HOG0002263	OG0002187	n0	A1S_2699	GO593_02615	GO593_RS02615	IX87_10190	IX87_RS09955
N0.HOG0002264	OG0002188	n0	A1S_2700	GO593_02610	GO593_RS02610	IX87_10185	IX87_RS09950
N0.HOG0002265	OG0002189	n0	A1S_2701	GO593_02605	GO593_RS02605	IX87_10180	IX87_RS09945
N0.HOG0002266	OG0002190	n0	A1S_2702	GO593_02600	GO593_RS02600	IX87_10175	IX87_RS09940
N0.HOG0002267	OG0002191	n0	A1S_2703	GO593_02595	GO593_RS02595	IX87_10170	IX87_RS09935
N0.HOG0002268	OG0002192	n0	A1S_2704	GO593_02590	GO593_RS02590	IX87_10165	IX87_RS09930
N0.HOG0002269	OG0002193	n0	A1S_2705	GO593_02585	GO593_RS02585	IX87_10160	IX87_RS09925
N0.HOG0002270	OG0002194	n0	A1S_2706	GO593_02580	GO593_RS02580	IX87_10155	IX87_RS09920
N0.HOG0002271	OG0002195	n0	A1S_2707	GO593_02565	GO593_RS02565	IX87_10140	IX87_RS09910
N0.HOG0002272	OG0002196	n0	A1S_2708	GO593_02560	GO593_RS02560	IX87_10135	IX87_RS09905
N0.HOG0002273	OG0002197	n0	A1S_2709	GO593_02555	GO593_RS02555	IX87_10130	IX87_RS09900
N0.HOG0002274	OG0002198	n0	A1S_2710	GO593_02550	GO593_RS02550	IX87_10125	IX87_RS09895
N0.HOG0002275	OG0002199	n0	A1S_2711	GO593_02545	GO593_RS02545	IX87_10120	IX87_RS09890
N0.HOG0002276	OG0002200	n0	A1S_2712	GO593_02540	GO593_RS02540	IX87_10115	IX87_RS09885
N0.HOG0002277	OG0002201	n0	A1S_2713	GO593_02535	GO593_RS02535	IX87_10110	IX87_RS09880
N0.HOG0002278	OG0002202	n0	A1S_2714	GO593_02530	GO593_RS02530	IX87_10105	IX87_RS09875
N0.HOG0002279	OG0002203	n0	A1S_2715	GO593_02515	GO593_RS02515	IX87_10100	IX87_RS09870
N0.HOG0002280	OG0002204	n0	A1S_2716	GO593_02510	GO593_RS02510	IX87_10095	IX87_RS09865
N0.HOG0002281	OG0002205	n0	A1S_2717	GO593_02505	GO593_RS02505	IX87_10090	IX87_RS09860
N0.HOG0002282	OG0002206	n0	A1S_2718	GO593_02500	GO593_RS02500	IX87_10085	IX87_RS09855
N0.HOG0002283	OG0002207	n0	A1S_2719	GO593_02495	GO593_RS02495	IX87_10080	IX87_RS09850
N0.HOG0002284	OG0002208	n0	A1S_2720	GO593_02490	GO593_RS02490	IX87_10075	IX87_RS09845
N0.HOG0002285	OG0002209	n0	A1S_2721	GO593_02485	GO593_RS02485	IX87_10070	IX87_RS09840
N0.HOG0002286	OG0002210	n0	A1S_2722	GO593_02480	GO593_RS02480	IX87_10065	IX87_RS09835
N0.HOG0002287	OG0002211	n0	A1S_2723	GO593_02475	GO593_RS02475	IX87_10060	IX87_RS09830
N0.HOG0002288	OG0002212	n0	A1S_2726	GO593_02630	GO593_RS02630	IX87_10205	IX87_RS09970
N0.HOG0002289	OG0002213	n0	A1S_2728	GO593_02635	GO593_RS02635	IX87_10210	IX87_RS09975
N0.HOG0002290	OG0002214	n0	A1S_2729	GO593_02640	GO593_RS02640	IX87_10215	IX87_RS09980
N0.HOG0002291	OG0002215	n0	A1S_2730	GO593_02645	GO593_RS02645	IX87_10220	IX87_RS09985
N0.HOG0002292	OG0002216	n0	A1S_2731	GO593_02650	GO593_RS02650	IX87_10225	IX87_RS09990
N0.HOG0002293	OG0002217	n0	A1S_2732	GO593_02660	GO593_RS02660	IX87_10240	IX87_RS10005
N0.HOG0002294	OG0002218	n0	A1S_2733	GO593_02665	GO593_RS02665	IX87_10245	IX87_RS10010
N0.HOG0002295	OG0002219	n0	A1S_2734	GO593_02670	GO593_RS02670	IX87_10250	IX87_RS10015
N0.HOG0002296	OG0002220	n0	A1S_2735	GO593_02675	GO593_RS02675	IX87_10255	IX87_RS10020
N0.HOG0002297	OG0002221	n0	A1S_2736	GO593_02680	GO593_RS02680	IX87_10260	IX87_RS10025
N0.HOG0002298	OG0002222	n0	A1S_2737	GO593_02685	GO593_RS02685	IX87_10265	IX87_RS10030
N0.HOG0002299	OG0002223	n0	A1S_2738	GO593_02690	GO593_RS02690	IX87_10270	IX87_RS10035
N0.HOG0002300	OG0002224	n0	A1S_2739	GO593_02695	GO593_RS02695	IX87_10275	IX87_RS10040
N0.HOG0002301	OG0002225	n0	A1S_2740	GO593_02705	GO593_RS02705	IX87_10285	IX87_RS10050
N0.HOG0002302	OG0002226	n0	A1S_2741	GO593_02710	GO593_RS02710	IX87_10290	IX87_RS10055
N0.HOG0002303	OG0002227	n0	A1S_2742	GO593_02715	GO593_RS02715	IX87_10295	IX87_RS10060
N0.HOG0002304	OG0002228	n0	A1S_2745	GO593_02725	GO593_RS02725	IX87_10305	IX87_RS10070
N0.HOG0002305	OG0002229	n0	A1S_2747	GO593_02735	GO593_RS02735	IX87_10315	IX87_RS10080
N0.HOG0002306	OG0002230	n0	A1S_2748	GO593_02740	GO593_RS02740	IX87_10320	IX87_RS10085
N0.HOG0002307	OG0002231	n0	A1S_2749	GO593_02750	GO593_RS02750	IX87_10325	IX87_RS10090
N0.HOG0002308	OG0002232	n0	A1S_2750	GO593_02755	GO593_RS02755	IX87_10330	IX87_RS10095
N0.HOG0002309	OG0002233	n0	A1S_2751	GO593_02760	GO593_RS02760	IX87_10335	IX87_RS10100
N0.HOG0002310	OG0002234	n0	A1S_2753	GO593_02770	GO593_RS02770	IX87_10345	IX87_RS10110
N0.HOG0002311	OG0002235	n0	A1S_2755	GO593_02780	GO593_RS02780	IX87_10360	IX87_RS10120
N0.HOG0002312	OG0002236	n0	A1S_2756	GO593_02785	GO593_RS02785	IX87_10365	IX87_RS10125
N0.HOG0002313	OG0002237	n0	A1S_2757	GO593_02790	GO593_RS02790	IX87_10370	IX87_RS10130
N0.HOG0002314	OG0002238	n0	A1S_2758	GO593_02795	GO593_RS02795	IX87_10375	IX87_RS10135
N0.HOG0002315	OG0002239	n0	A1S_2759	GO593_02800	GO593_RS02800	IX87_10380	IX87_RS10140
N0.HOG0002316	OG0002240	n0	A1S_2760	GO593_02805	GO593_RS02805	IX87_10385	IX87_RS10145
N0.HOG0002317	OG0002241	n0	A1S_2761	GO593_02810	GO593_RS02810	IX87_10390	IX87_RS10150
N0.HOG0002318	OG0002242	n0	A1S_2766	GO593_02830	GO593_RS02830	IX87_10670	IX87_RS10420
N0.HOG0002319	OG0002243	n0	A1S_2767	GO593_02835	GO593_RS02835	IX87_10675	IX87_RS10425
N0.HOG0002320	OG0002244	n0	A1S_2768	GO593_02840	GO593_RS02840	IX87_10680	IX87_RS10430
N0.HOG0002321	OG0002245	n0	A1S_2772	GO593_02860	GO593_RS02860	IX87_10705	IX87_RS10450
N0.HOG0002322	OG0002246	n0	A1S_2774	GO593_02870	GO593_RS02870	IX87_10715	IX87_RS10460
N0.HOG0002323	OG0002247	n0	A1S_2775	GO593_02875	GO593_RS02875	IX87_10720	IX87_RS10465
N0.HOG0002324	OG0002248	n0	A1S_2776	GO593_02880	GO593_RS02880	IX87_10725	IX87_RS10470
N0.HOG0002325	OG0002249	n0	A1S_2777	GO593_02890	GO593_RS02890	IX87_10735	IX87_RS10480
N0.HOG0002326	OG0002250	n0	A1S_2778	GO593_02895	GO593_RS02895	IX87_10740	IX87_RS10485
N0.HOG0002327	OG0002251	n0	A1S_2779	GO593_02900	GO593_RS02900	IX87_10745	IX87_RS10490
N0.HOG0002328	OG0002252	n0	A1S_2780	GO593_02905	GO593_RS02905	IX87_10750	IX87_RS10495
N0.HOG0002329	OG0002253	n0	A1S_2781	GO593_02910	GO593_RS02910	IX87_10755	IX87_RS10500
N0.HOG0002330	OG0002254	n0	A1S_2782	GO593_02915	GO593_RS02915	IX87_10760	IX87_RS10505
N0.HOG0002331	OG0002255	n0	A1S_2783	GO593_02920	GO593_RS02920	IX87_10765	IX87_RS10510
N0.HOG0002332	OG0002256	n0	A1S_2784	GO593_02925	GO593_RS02925	IX87_10770	IX87_RS10515
N0.HOG0002333	OG0002257	n0	A1S_2785	GO593_02930	GO593_RS02930	IX87_10775	IX87_RS10520
N0.HOG0002334	OG0002258	n0	A1S_2786	GO593_02935	GO593_RS02935	IX87_10780	IX87_RS10525
N0.HOG0002335	OG0002259	n0	A1S_2787	GO593_02940	GO593_RS02940	IX87_10785	IX87_RS10530
N0.HOG0002336	OG0002260	n0	A1S_2788	GO593_02945	GO593_RS02945	IX87_10790	IX87_RS10535
N0.HOG0002337	OG0002261	n0	A1S_2790	GO593_02950	GO593_RS02950	IX87_10815	IX87_RS10560
N0.HOG0002338	OG0002262	n0	A1S_2791	GO593_02955	GO593_RS02955	IX87_10820	IX87_RS10565
N0.HOG0002339	OG0002263	n0	A1S_2792	GO593_02960	GO593_RS02960	IX87_10825	IX87_RS10570
N0.HOG0002340	OG0002264	n0	A1S_2793	GO593_02965	GO593_RS02965	IX87_10830	IX87_RS10575
N0.HOG0002341	OG0002265	n0	A1S_2794	GO593_02980	GO593_RS02980	IX87_10845	IX87_RS10585
N0.HOG0002342	OG0002266	n0	A1S_2795	GO593_02985	GO593_RS02985	IX87_10850	IX87_RS10590
N0.HOG0002343	OG0002267	n0	A1S_2796	GO593_02990	GO593_RS02990	IX87_10855	IX87_RS10595
N0.HOG0002344	OG0002268	n0	A1S_2797	GO593_02995	GO593_RS02995	IX87_10860	IX87_RS10600
N0.HOG0002345	OG0002269	n0	A1S_2798	GO593_03000	GO593_RS03000	IX87_10865	IX87_RS10605
N0.HOG0002346	OG0002270	n0	A1S_2799	GO593_03005	GO593_RS03005	IX87_10870	IX87_RS10610
N0.HOG0002347	OG0002271	n0	A1S_2806	GO593_03040	GO593_RS03040	IX87_10905	IX87_RS10645
N0.HOG0002348	OG0002272	n0	A1S_2807	GO593_03045	GO593_RS03045	IX87_10910	IX87_RS10650
N0.HOG0002349	OG0002273	n0	A1S_2808	GO593_03050	GO593_RS03050	IX87_10915	IX87_RS10655
N0.HOG0002350	OG0002274	n0	A1S_2809	GO593_03055	GO593_RS03055	IX87_10920	IX87_RS10660
N0.HOG0002351	OG0002275	n0	A1S_2810	GO593_03060	GO593_RS03060	IX87_10925	IX87_RS10665
N0.HOG0002352	OG0002276	n0	A1S_2811	GO593_03070	GO593_RS03070	IX87_10935	IX87_RS10675
N0.HOG0002353	OG0002277	n0	A1S_2812	GO593_03075	GO593_RS03075	IX87_10940	IX87_RS10680
N0.HOG0002354	OG0002278	n0	A1S_2813	GO593_03080	GO593_RS03080	IX87_10945	IX87_RS10685
N0.HOG0002355	OG0002279	n0	A1S_2814	GO593_03085	GO593_RS03085	IX87_10950	IX87_RS10690
N0.HOG0002356	OG0002280	n0	A1S_2815	GO593_03090	GO593_RS03090	IX87_10955	IX87_RS10695
N0.HOG0002357	OG0002281	n0	A1S_2816	GO593_03095	GO593_RS03095	IX87_10960	IX87_RS10700
N0.HOG0002358	OG0002282	n0	A1S_2817	GO593_03100	GO593_RS03100	IX87_10965	IX87_RS10705
N0.HOG0002359	OG0002283	n0	A1S_2818	GO593_03105	GO593_RS03105	IX87_10970	IX87_RS10710
N0.HOG0002360	OG0002284	n0	A1S_2819	GO593_03110	GO593_RS03110	IX87_10975	IX87_RS10715
N0.HOG0002361	OG0002285	n0	A1S_2820	GO593_03115	GO593_RS03115	IX87_10980	IX87_RS10720
N0.HOG0002362	OG0002286	n0	A1S_2821	GO593_03120	GO593_RS03120	IX87_10985	IX87_RS10725
N0.HOG0002363	OG0002287	n0	A1S_2822	GO593_03125	GO593_RS03125	IX87_10990	IX87_RS10730
N0.HOG0002364	OG0002288	n0	A1S_2823	GO593_03130	GO593_RS03130	IX87_10995	IX87_RS10735
N0.HOG0002365	OG0002289	n0	A1S_2824	GO593_03135	GO593_RS03135	IX87_11000	IX87_RS10740
N0.HOG0002366	OG0002290	n0	A1S_2825	GO593_03140	GO593_RS03140	IX87_11005	IX87_RS10745
N0.HOG0002367	OG0002291	n0	A1S_2826	GO593_03145	GO593_RS03145	IX87_11010	IX87_RS10750
N0.HOG0002368	OG0002292	n0	A1S_2827	GO593_03150	GO593_RS03150	IX87_11015	IX87_RS10755
N0.HOG0002369	OG0002293	n0	A1S_2828	GO593_03155	GO593_RS03155	IX87_11020	IX87_RS10760
N0.HOG0002370	OG0002294	n0	A1S_2829	GO593_03160	GO593_RS03160	IX87_11025	IX87_RS10765
N0.HOG0002371	OG0002295	n0	A1S_2830	GO593_03165	GO593_RS03165	IX87_11030	IX87_RS10770
N0.HOG0002372	OG0002296	n0	A1S_2831	GO593_03170	GO593_RS03170	IX87_11035	IX87_RS10775
N0.HOG0002373	OG0002297	n0	A1S_2832	GO593_03175	GO593_RS03175	IX87_11040	IX87_RS10780
N0.HOG0002374	OG0002298	n0	A1S_2833	GO593_03180	GO593_RS03180	IX87_11045	IX87_RS10785
N0.HOG0002375	OG0002299	n0	A1S_2834	GO593_03185	GO593_RS03185	IX87_11050	IX87_RS10790
N0.HOG0002376	OG0002300	n0	A1S_2835	GO593_03190	GO593_RS03190	IX87_11055	IX87_RS10795
N0.HOG0002377	OG0002301	n0	A1S_2836	GO593_03195	GO593_RS03195	IX87_11060	IX87_RS10800
N0.HOG0002378	OG0002302	n0	A1S_2837	GO593_03200	GO593_RS03200	IX87_11065	IX87_RS10805
N0.HOG0002379	OG0002303	n0	A1S_2838	GO593_03205	GO593_RS03205	IX87_11070	IX87_RS10810
N0.HOG0002380	OG0002304	n0	A1S_2840	GO593_03215	GO593_RS03215	IX87_11085	IX87_RS10825
N0.HOG0002381	OG0002305	n0	A1S_2841	GO593_03220	GO593_RS03220	IX87_11090	IX87_RS10830
N0.HOG0002382	OG0002306	n0	A1S_2843	GO593_03230	GO593_RS03230	IX87_11100	IX87_RS10840
N0.HOG0002383	OG0002307	n0	A1S_2844	GO593_03235	GO593_RS03235	IX87_11105	IX87_RS10845
N0.HOG0002384	OG0002308	n0	A1S_2845	GO593_03240	GO593_RS03240	IX87_11110	IX87_RS10850
N0.HOG0002385	OG0002309	n0	A1S_2846	GO593_03245	GO593_RS03245	IX87_11115	IX87_RS10855
N0.HOG0002386	OG0002310	n0	A1S_2847	GO593_03250	GO593_RS03250	IX87_11120	IX87_RS10860
N0.HOG0002387	OG0002311	n0	A1S_2849	GO593_03255	GO593_RS03255	IX87_11125	IX87_RS10865
N0.HOG0002388	OG0002312	n0	A1S_2850	GO593_03260	GO593_RS03260	IX87_11130	IX87_RS10870
N0.HOG0002389	OG0002313	n0	A1S_2851	GO593_03265	GO593_RS03265	IX87_11135	IX87_RS10875
N0.HOG0002390	OG0002314	n0	A1S_2852	GO593_03270	GO593_RS03270	IX87_11140	IX87_RS10880
N0.HOG0002391	OG0002315	n0	A1S_2854	GO593_03275	GO593_RS03275	IX87_11145	IX87_RS10885
N0.HOG0002392	OG0002316	n0	A1S_2855	GO593_03280	GO593_RS03280	IX87_11150	IX87_RS10890
N0.HOG0002393	OG0002317	n0	A1S_2856	GO593_03285	GO593_RS03285	IX87_11155	IX87_RS10895
N0.HOG0002394	OG0002318	n0	A1S_2857	GO593_03290	GO593_RS03290	IX87_11160	IX87_RS10900
