HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_AB030	Acinetobacter_baumannii_AB5075_UW	Acinetobacter_baumannii_ATCC_17978	Escherichia_coli_BW25113	Escherichia_coli_MG1655	Pseudomonas_aeruginosa_PAO1
N0.HOG0002200	OG0002130	n0	GO593_15025	IX87_02805	ABUW_2340	HKO16_07515			PA2350
N0.HOG0002201	OG0002131	n0	GO593_15040	IX87_02790	ABUW_2337	HKO16_07530			PA2348
N0.HOG0002202	OG0002132	n0	GO593_15180	IX87_02665	ABUW_2319	HKO16_07615			PA2757
N0.HOG0002203	OG0002133	n0	GO593_15190	IX87_02655	ABUW_2655, ABUW_2317	HKO16_07625			
N0.HOG0002204	OG0002134	n0	GO593_15260	IX87_02570	ABUW_2302	HKO16_07695			PA1884
N0.HOG0002205	OG0002135	n0	GO593_15300	IX87_02530	ABUW_2294	HKO16_07735			PA1203
N0.HOG0002206	OG0002136	n0	GO593_15370	IX87_02460	ABUW_2280	HKO16_07805			PA3228
N0.HOG0002207	OG0002137	n0	GO593_15380	IX87_02440	ABUW_2278	HKO16_07815			PA0255
N0.HOG0002208	OG0002138	n0	GO593_15440	IX87_02380	ABUW_2266	HKO16_07875			PA0596
N0.HOG0002209	OG0002139	n0	GO593_15445	IX87_02375	ABUW_2265	HKO16_07880			PA0597
N0.HOG0002210	OG0002140	n0	GO593_15460	IX87_02360	ABUW_2262	HKO16_07895			PA5562
N0.HOG0002211	OG0002141	n0	GO593_15465	IX87_02355	ABUW_2261	HKO16_07900			PA2983
N0.HOG0002212	OG0002142	n0	GO593_15470	IX87_02350	ABUW_2260	HKO16_07905			PA2982
N0.HOG0002213	OG0002143	n0	GO593_15495	IX87_02325	ABUW_2255	HKO16_07930			PA2960
N0.HOG0002214	OG0002144	n0	GO593_15540	IX87_02280	ABUW_2246	HKO16_07975			PA0744
N0.HOG0002215	OG0002145	n0	GO593_15605	IX87_18830	ABUW_2233	HKO16_08305			PA4114
N0.HOG0002216	OG0002146	n0	GO593_15620	IX87_18845	ABUW_2230	HKO16_08320			PA0198
N0.HOG0002217	OG0002147	n0	GO593_15625	IX87_18850	ABUW_2229	HKO16_08325			PA0197
N0.HOG0002218	OG0002148	n0	GO593_15630	IX87_18855	ABUW_2228	HKO16_08330			PA2070
N0.HOG0002219	OG0002149	n0	GO593_15705	IX87_18930	ABUW_2213	HKO16_08405			PA1741
N0.HOG0002220	OG0002150	n0	GO593_15725	IX87_18950	ABUW_2209	HKO16_08425			PA0959
N0.HOG0002221	OG0002151	n0	GO593_15730	IX87_18955	ABUW_2208	HKO16_08430			PA3217
N0.HOG0002222	OG0002152	n0	GO593_15775		ABUW_2199	HKO16_08475			PA5061, PA5060
N0.HOG0002223	OG0002153	n0	GO593_15800	IX87_19030	ABUW_2194	HKO16_08500			PA4994
N0.HOG0002224	OG0002154	n0	GO593_15805	IX87_19035	ABUW_2193	HKO16_08505			PA4995
N0.HOG0002225	OG0002155	n0	GO593_15880	IX87_19110	ABUW_2178	HKO16_13575, HKO16_08580			
N0.HOG0002226	OG0002156	n0	GO593_15935	IX87_19170	ABUW_2167	HKO16_08635			PA0801
N0.HOG0002227	OG0002157	n0	GO593_15960	IX87_19195		HKO16_08660	BW25113_0795	b0795	
N0.HOG0002228	OG0002158	n0	GO593_15970	IX87_19205		HKO16_08670	BW25113_0793	b0793	
N0.HOG0002229	OG0002159	n0	GO593_15980	IX87_19215	ABUW_2163	HKO16_08680			PA3084
N0.HOG0002230	OG0002160	n0	GO593_15985	IX87_19220	ABUW_2162	HKO16_08685			PA1040
N0.HOG0002231	OG0002161	n0	GO593_16010	IX87_19255	ABUW_2157	HKO16_08710			PA5465
N0.HOG0002232	OG0002162	n0	GO593_16080	IX87_19375	ABUW_2134	HKO16_08820			PA0862
N0.HOG0002233	OG0002163	n0	GO593_16095	IX87_19390	ABUW_2131	HKO16_08835			PA4150
N0.HOG0002234	OG0002164	n0	GO593_16140	IX87_19435	ABUW_2122	HKO16_08880			PA2345
N0.HOG0002235	OG0002165	n0	GO593_16145	IX87_19440	ABUW_2121	HKO16_08885			PA3457
N0.HOG0002236	OG0002166	n0	GO593_16155	IX87_19450	ABUW_2119	HKO16_08895			PA3897
N0.HOG0002237	OG0002167	n0	GO593_16170	IX87_19465	ABUW_2116	HKO16_08910			PA1962
N0.HOG0002238	OG0002168	n0	GO593_16175	IX87_19470	ABUW_2115	HKO16_08915			PA4289
N0.HOG0002239	OG0002169	n0	GO593_16185	IX87_19480	ABUW_2113	HKO16_08925			PA2298
N0.HOG0002240	OG0002170	n0	GO593_16190	IX87_19485	ABUW_2112	HKO16_08930			PA2297
N0.HOG0002241	OG0002171	n0	GO593_16195	IX87_19490	ABUW_2111	HKO16_08935			PA2296
N0.HOG0002242	OG0002172	n0	GO593_16200	IX87_19495	ABUW_2110	HKO16_08940			PA2295
N0.HOG0002243	OG0002173	n0	GO593_16210	IX87_19505	ABUW_2108	HKO16_08950			PA2293
N0.HOG0002244	OG0002174	n0	GO593_16215	IX87_19510	ABUW_2107	HKO16_08955			PA2292
N0.HOG0002245	OG0002175	n0	GO593_16305	IX87_19610	ABUW_2093	HKO16_09045			PA2004
N0.HOG0002246	OG0002176	n0	GO593_16310	IX87_19615	ABUW_2092	HKO16_09050			PA2003
N0.HOG0002247	OG0002177	n0	GO593_16325	IX87_19630	ABUW_2089	HKO16_09065			PA2682
N0.HOG0002248	OG0002178	n0	GO593_16405	IX87_19710	ABUW_2073		BW25113_0480	b0480	
N0.HOG0002249	OG0002179	n0	GO593_16440	IX87_19765	ABUW_2066				PA2393, PA5396
N0.HOG0002250	OG0002180	n0	GO593_16525	IX87_20155	ABUW_1975	HKO16_09115			PA4598
N0.HOG0002251	OG0002181	n0	GO593_16615	IX87_20280	ABUW_1957	HKO16_09220			PA0431
N0.HOG0002252	OG0002182	n0	GO593_16730	IX87_20335	ABUW_1944	HKO16_09295			PA4916
N0.HOG0002253	OG0002183	n0	GO593_16790	IX87_20390		HKO16_09345			PA4227, PA2047
N0.HOG0002254	OG0002184	n0	GO593_16810	IX87_20410	ABUW_1936	HKO16_09365			PA2206
N0.HOG0002255	OG0002185	n0	GO593_16840		ABUW_1930	HKO16_09395			PA2836, PA1237
N0.HOG0002256	OG0002186	n0	GO593_16945			HKO16_09520			PA3427, PA2892, PA1023
N0.HOG0002257	OG0002187	n0	GO593_16975		ABUW_1893	HKO16_09550			PA2692, PA4169
N0.HOG0002258	OG0002188	n0	GO593_17000	IX87_20130	ABUW_1888	HKO16_09580			PA4362
N0.HOG0002259	OG0002189	n0	GO593_17010	IX87_20565	ABUW_1886	HKO16_09590			PA2717
N0.HOG0002260	OG0002190	n0	GO593_17015	IX87_20570, IX87_20530	ABUW_1885	HKO16_09595			
N0.HOG0002261	OG0002191	n0	GO593_17025	IX87_20660	ABUW_1883	HKO16_09605			PA2216
N0.HOG0002262	OG0002192	n0	GO593_17060	IX87_20695	ABUW_1876	HKO16_09640			PA2508
N0.HOG0002263	OG0002193	n0	GO593_17065	IX87_20700	ABUW_1875	HKO16_09645			PA2507
N0.HOG0002264	OG0002194	n0	GO593_17105		ABUW_1867	HKO16_09685	BW25113_1386	b1386	
N0.HOG0002265	OG0002195	n0	GO593_17115	IX87_20435, IX87_20745	ABUW_1865	HKO16_09695			
N0.HOG0002266	OG0002196	n0	GO593_17150	IX87_20440, IX87_20780	ABUW_1858	HKO16_09730			
N0.HOG0002267	OG0002197	n0	GO593_17180	IX87_20815	ABUW_1852	HKO16_09760			PA1831
N0.HOG0002268	OG0002198	n0	GO593_17185	IX87_20820	ABUW_1851	HKO16_09765			PA1829
N0.HOG0002269	OG0002199	n0	GO593_17190	IX87_20825	ABUW_1850	HKO16_09770			PA2550
N0.HOG0002270	OG0002200	n0	GO593_17205	IX87_20840	ABUW_1847	HKO16_09785			PA2915
N0.HOG0002271	OG0002201	n0	GO593_17245	IX87_20880	ABUW_1839	HKO16_09825			PA0154
N0.HOG0002272	OG0002202	n0	GO593_17250	IX87_20885	ABUW_1838	HKO16_09830			PA0153
N0.HOG0002273	OG0002203	n0	GO593_17255	IX87_20890	ABUW_1837	HKO16_09835			PA0232
N0.HOG0002274	OG0002204	n0	GO593_17270	IX87_20905	ABUW_1834	HKO16_09850			PA0230
N0.HOG0002275	OG0002205	n0	GO593_17335	IX87_20970	ABUW_1821	HKO16_09915			PA3750
N0.HOG0002276	OG0002206	n0	GO593_17340	IX87_20975	ABUW_1820	HKO16_09920			PA2120
N0.HOG0002277	OG0002207	n0	GO593_17360	IX87_20995	ABUW_1816	HKO16_09940			PA2943
N0.HOG0002278	OG0002208	n0	GO593_17440	IX87_21075	ABUW_1798	HKO16_10020			PA4711
N0.HOG0002279	OG0002209	n0	GO593_17560	IX87_21210	ABUW_1773	HKO16_10145			PA1239
N0.HOG0002280	OG0002210	n0	GO593_17605	IX87_21525	ABUW_1907, ABUW_1762	HKO16_10185			
N0.HOG0002281	OG0002211	n0	GO593_17630	IX87_21560	ABUW_1757	HKO16_10210			PA2079
N0.HOG0002282	OG0002212	n0	GO593_17635	IX87_21565	ABUW_1756	HKO16_10215			PA2080
N0.HOG0002283	OG0002213	n0	GO593_17640	IX87_21570	ABUW_1755	HKO16_10220			PA2082
N0.HOG0002284	OG0002214	n0	GO593_17710	IX87_21635	ABUW_1742	HKO16_10290			PA3647
N0.HOG0002285	OG0002215	n0	GO593_17920	IX87_21885	ABUW_1701	HKO16_10500			PA1786
N0.HOG0002286	OG0002216	n0	GO593_17975	IX87_06185	ABUW_1690	HKO16_10910			PA3602
N0.HOG0002287	OG0002217	n0	GO593_17980	IX87_06190	ABUW_1689	HKO16_10915			PA0308
N0.HOG0002288	OG0002218	n0	GO593_17995	IX87_06205	ABUW_1686	HKO16_10930			PA2978
N0.HOG0002289	OG0002219	n0	GO593_18035	IX87_06250	ABUW_1677	HKO16_10970			PA1047
N0.HOG0002290	OG0002220	n0	GO593_18040	IX87_06255	ABUW_1676	HKO16_10975			PA4788
N0.HOG0002291	OG0002221	n0	GO593_18045	IX87_06260	ABUW_1675	HKO16_10980			PA4786
N0.HOG0002292	OG0002222	n0	GO593_18055	IX87_06270	ABUW_1673	HKO16_10990			PA2880
N0.HOG0002293	OG0002223	n0	GO593_18095	IX87_06310	ABUW_1664	HKO16_11035			PA3826
N0.HOG0002294	OG0002224	n0	GO593_18110	IX87_06330	ABUW_1660	HKO16_11055			PA1425
N0.HOG0002295	OG0002225	n0	GO593_18115		ABUW_1659	HKO16_11060	BW25113_1178	b1178	
N0.HOG0002296	OG0002226	n0	GO593_18195	IX87_06435	ABUW_1636	HKO16_11140			PA0117
N0.HOG0002297	OG0002227	n0	GO593_18220		ABUW_1631	HKO16_11165			PA4649, PA4650
N0.HOG0002298	OG0002228	n0	GO593_18245	IX87_06465	ABUW_1626	HKO16_11190			PA1966
N0.HOG0002299	OG0002229	n0	GO593_18275	IX87_06495	ABUW_1620	HKO16_11220			PA4023
N0.HOG0002300	OG0002230	n0	GO593_18345	IX87_06565	ABUW_1605	HKO16_11290			PA2043
N0.HOG0002301	OG0002231	n0	GO593_18395	IX87_06615	ABUW_1595	HKO16_11340			PA1496
N0.HOG0002302	OG0002232	n0	GO593_18430	IX87_06650	ABUW_1588	HKO16_11375			PA0655
N0.HOG0002303	OG0002233	n0	GO593_18505	IX87_06735	ABUW_1572	HKO16_11450			PA2554
N0.HOG0002304	OG0002234	n0	GO593_18510	IX87_06740	ABUW_1571	HKO16_11455			PA2556
N0.HOG0002305	OG0002235	n0	GO593_18640	IX87_06870	ABUW_1543	HKO16_11585			PA1733
N0.HOG0002306	OG0002236	n0	GO593_18735	IX87_06970	ABUW_1523	HKO16_11680			PA5282
N0.HOG0002307	OG0002237	n0	GO593_18795		ABUW_1512		BW25113_1661	b1661	PA5546
N0.HOG0002308	OG0002238	n0	GO593_18860	IX87_07035	ABUW_1499	HKO16_11730			PA2576
N0.HOG0002309	OG0002239	n0	GO593_18865	IX87_07050	ABUW_1498, ABUW_0222	HKO16_11735			
N0.HOG0002310	OG0002240	n0	GO593_18895	IX87_07065	ABUW_1492	HKO16_11765			PA4653
N0.HOG0002311	OG0002241	n0	GO593_18900	IX87_07070	ABUW_1491	HKO16_11770			PA4652
N0.HOG0002312	OG0002242	n0	GO593_18905	IX87_07075	ABUW_1490	HKO16_11775			PA4651
N0.HOG0002313	OG0002243	n0	GO593_18920	IX87_07090	ABUW_1487	HKO16_11790			PA4648
N0.HOG0002314	OG0002244	n0	GO593_18985		ABUW_4037	HKO16_19190	BW25113_1508	b1508	
N0.HOG0002315	OG0002245	n0		IX87_06145, IX87_00295		HKO16_10880, HKO16_08045, HKO16_05575			
N0.HOG0002316	OG0002246	n0		IX87_09780		HKO16_14005	BW25113_4566	b4566	PA0712
N0.HOG0002317	OG0002247	n0		IX87_10580	ABUW_0754, ABUW_1273, ABUW_1406	HKO16_08115			
N0.HOG0002318	OG0002248	n0		IX87_13335					PA5314, PA2762, PA1917, PA3425
N0.HOG0002319	OG0002249	n0		IX87_14855			BW25113_3619	b3619	PA4068, PA3337
N0.HOG0002320	OG0002250	n0		IX87_14895	ABUW_3824		BW25113_2050	b2050	PA3147
N0.HOG0002321	OG0002251	n0		IX87_19855, IX87_19905	ABUW_2042, ABUW_2045, ABUW_2035				
N0.HOG0002322	OG0002252	n0		IX87_20200	ABUW_1966		BW25113_1328	b1328	PA2220
N0.HOG0002323	OG0002253	n0		IX87_20205	ABUW_1965		BW25113_1327	b1327	PA2218
N0.HOG0002324	OG0002254	n0		IX87_21815	ABUW_1708	HKO16_10465			PA3534, PA2714
N0.HOG0002325	OG0002255	n0			ABUW_0795	HKO16_10615	BW25113_1419	b1419	PA3367
N0.HOG0002326	OG0002256	n0			ABUW_1480		BW25113_1771	b1771	PA4992, PA1127
N0.HOG0002327	OG0002257	n0			ABUW_1570				PA3449, PA0186, PA3513, PA5545
N0.HOG0002328	OG0002258	n0			ABUW_1766, ABUW_3803	HKO16_13495, HKO16_01040, HKO16_01410			
N0.HOG0002329	OG0002259	n0			ABUW_3676, ABUW_4046	HKO16_01130, HKO16_17745, HKO16_17955			
N0.HOG0002330	OG0002260	n0			ABUW_3677	HKO16_13480, HKO16_17870, HKO16_01125, HKO16_17960			
N0.HOG0002331	OG0002261	n0			ABUW_4069		BW25113_0055	b0055	PA1191, PA0598
N0.HOG0002332	OG0002262	n0				HKO16_02685	BW25113_1095	b1095	PA1373, PA2965
N0.HOG0002333	OG0002263	n0				HKO16_19150, HKO16_05225	BW25113_2839	b2839	PA5085
N0.HOG0002334	OG0002264	n0					BW25113_0457, BW25113_4061	b0457, b4061	PA2200
N0.HOG0002335	OG0002265	n0					BW25113_4018, BW25113_0506	b4018, b0506	PA0236
N0.HOG0002336	OG0002266	n0					BW25113_0651, BW25113_2162	b0651, b2162	PA0143
N0.HOG0002337	OG0002267	n0					BW25113_0789	b0789	PA2155, PA5394, PA4339
N0.HOG0002338	OG0002268	n0					BW25113_0863, BW25113_0860	b0863, b0860	PA5153
N0.HOG0002339	OG0002269	n0					BW25113_0898	b0898	PA5311, PA4887, PA3355
N0.HOG0002340	OG0002270	n0					BW25113_0900	b0900	PA1128, PA1738, PA1328
N0.HOG0002341	OG0002271	n0					BW25113_1162, BW25113_2127	b1162, b2127	PA4659
N0.HOG0002342	OG0002272	n0					BW25113_1469, BW25113_1223	b1469, b1223	PA3876
N0.HOG0002343	OG0002273	n0					BW25113_1468, BW25113_1224	b1468, b1224	PA3875
N0.HOG0002344	OG0002274	n0					BW25113_1467, BW25113_1225	b1467, b1225	PA3874
N0.HOG0002345	OG0002275	n0					BW25113_1226, BW25113_1466	b1226, b1466	PA3873
N0.HOG0002346	OG0002276	n0					BW25113_1465, BW25113_1227	b1465, b1227	PA3872
N0.HOG0002347	OG0002277	n0					BW25113_4518, BW25113_1259	b4518, b1259	PA2146
N0.HOG0002348	OG0002278	n0					BW25113_1312	b1312	PA3252, PA2340, PA3188
N0.HOG0002349	OG0002279	n0					BW25113_3849, BW25113_1363	b3849, b1363	PA3210
N0.HOG0002350	OG0002280	n0					BW25113_2215, BW25113_1377	b2215, b1472, b1377	
N0.HOG0002351	OG0002281	n0					BW25113_3894, BW25113_1474	b3894, b1474	PA4812
N0.HOG0002352	OG0002282	n0					BW25113_1475, BW25113_3893	b1475, b3893	PA4811
N0.HOG0002353	OG0002283	n0					BW25113_3800, BW25113_1497	b3800, b1497	PA0511
N0.HOG0002354	OG0002284	n0					BW25113_1504, BW25113_4318	b1504, b4318	PA0992
N0.HOG0002355	OG0002285	n0					BW25113_1655	b1655	PA3472, PA1198, PA1199
N0.HOG0002356	OG0002286	n0					BW25113_1853	b1853	PA5438, PA3184, PA5506
N0.HOG0002357	OG0002287	n0					BW25113_1871	b1871	PA0774, PA0547, PA0798
N0.HOG0002358	OG0002288	n0					BW25113_1880	b1880	PA1473, PA1690, PA1449
N0.HOG0002359	OG0002289	n0					BW25113_1883	b1883	PA0173, PA3703, PA1459
N0.HOG0002360	OG0002290	n0					BW25113_2032	b2032	PA2239, PA5449, PA5448
N0.HOG0002361	OG0002291	n0					BW25113_2039, BW25113_3789	b2039, b3789	PA5163
N0.HOG0002362	OG0002292	n0					BW25113_2049	b2049	PA2232, PA5452, PA3551
N0.HOG0002363	OG0002293	n0					BW25113_2195	b2195	PA1481, PA0953, PA2477
N0.HOG0002364	OG0002294	n0					BW25113_2217	b2217	PA2899, PA4080, PA3714
N0.HOG0002365	OG0002295	n0					BW25113_2832	b2832	PA5469, PA5250, PA1170
N0.HOG0002366	OG0002296	n0					BW25113_2844	b2844	PA3454, PA2940, PA2001
N0.HOG0002367	OG0002297	n0					BW25113_2902	b2902	PA4079, PA4389, PA3128
N0.HOG0002368	OG0002298	n0					BW25113_2905	b2905	PA5215, PA2442, PA5418
N0.HOG0002369	OG0002299	n0					BW25113_3417, BW25113_3428	b3417, b3428	PA2144
N0.HOG0002370	OG0002300	n0					BW25113_3438, BW25113_4264	b3438, b4264	PA2320
N0.HOG0002371	OG0002301	n0					BW25113_3442	b3442	PA0263, PA1512, PA5267
N0.HOG0002372	OG0002302	n0					BW25113_3455	b3455	PA4861, PA4910, PA1071
N0.HOG0002373	OG0002303	n0					BW25113_3456	b3456	PA4911, PA4860, PA1072
N0.HOG0002374	OG0002304	n0					BW25113_3923, BW25113_3495	b3923, b3495	PA1753
N0.HOG0002375	OG0002305	n0					BW25113_3957	b3957	PA5206, PA5390, PA2787
N0.HOG0002376	OG0002306	n0					BW25113_4115, BW25113_4132	b4115, b4132	PA1819
N0.HOG0002377	OG0002307	n0					BW25113_4333	b4333	PA0319, PA0327, PA2017
N0.HOG0002378	OG0002308	n0							PA4624, PA0692, PA4540, PA0040, PA2463
N0.HOG0002379	OG0002309	n0							PA4499, PA0225, PA4077, PA0535, PA4987
N0.HOG0002380	OG0002310	n0							PA5000, PA1014, PA0705, PA2233, PA1390
N0.HOG0002381	OG0002311	n0							PA4027, PA5139, PA5138, PA5137, PA0777
N0.HOG0002382	OG0002312	n0							PA0860, PA1246, PA3406, PA4222, PA1113
N0.HOG0002383	OG0002313	n0							PA4901, PA4180, PA2035, PA4977, PA1417
N0.HOG0002384	OG0002314	n0							PA2086, PA2934, PA3429, PA1622, PA2745
N0.HOG0002385	OG0002315	n0							PA5461, PA5463, PA5467, PA5212, PA5462
N0.HOG0002386	OG0002316	n0	GO593_00015	IX87_07160	ABUW_1473	HKO16_11835			
N0.HOG0002387	OG0002317	n0	GO593_00025	IX87_07170	ABUW_1471	HKO16_11845			
N0.HOG0002388	OG0002318	n0	GO593_00030	IX87_07175	ABUW_1470	HKO16_11850			
N0.HOG0002389	OG0002319	n0	GO593_00040	IX87_07185	ABUW_1468	HKO16_11860			
N0.HOG0002390	OG0002320	n0	GO593_00045	IX87_07190	ABUW_1467	HKO16_11865			
N0.HOG0002391	OG0002321	n0	GO593_00050	IX87_07195	ABUW_1466	HKO16_11870			
N0.HOG0002392	OG0002322	n0	GO593_00100	IX87_07320	ABUW_1456	HKO16_11920			
N0.HOG0002393	OG0002323	n0	GO593_00140	IX87_07360	ABUW_1448	HKO16_11960			
N0.HOG0002394	OG0002324	n0	GO593_00145	IX87_07365	ABUW_1447	HKO16_11965			
N0.HOG0002395	OG0002325	n0	GO593_00165	IX87_07385	ABUW_1443	HKO16_11985			
N0.HOG0002396	OG0002326	n0	GO593_00170	IX87_07390	ABUW_1442	HKO16_11990			
N0.HOG0002397	OG0002327	n0	GO593_00190	IX87_07410	ABUW_1379	HKO16_12010			
N0.HOG0002398	OG0002328	n0	GO593_00205	IX87_07425	ABUW_1376	HKO16_12025			
N0.HOG0002399	OG0002329	n0	GO593_00230	IX87_07450		HKO16_12050			PA1495
N0.HOG0002400	OG0002330	n0	GO593_00255	IX87_07475	ABUW_1367	HKO16_12100			
N0.HOG0002401	OG0002331	n0	GO593_00305	IX87_07525	ABUW_1357	HKO16_12150			
N0.HOG0002402	OG0002332	n0	GO593_00310	IX87_07530	ABUW_1356	HKO16_12155			
N0.HOG0002403	OG0002333	n0	GO593_00315	IX87_07535	ABUW_1355	HKO16_12160			
N0.HOG0002404	OG0002334	n0	GO593_00430	IX87_07650	ABUW_1332	HKO16_12275			
N0.HOG0002405	OG0002335	n0	GO593_00440	IX87_07660	ABUW_1330	HKO16_12285			
N0.HOG0002406	OG0002336	n0	GO593_00625	IX87_00110, IX87_04965	ABUW_0770				
N0.HOG0002407	OG0002337	n0	GO593_00755, GO593_13365		ABUW_0742, ABUW_1395				
N0.HOG0002408	OG0002338	n0	GO593_00765		ABUW_1257		BW25113_1350	b1350	
N0.HOG0002409	OG0002339	n0	GO593_00780, GO593_13300	IX87_05105, IX87_18560					
N0.HOG0002410	OG0002340	n0	GO593_00820	IX87_07940	ABUW_1245	HKO16_12310			
N0.HOG0002411	OG0002341	n0	GO593_00860	IX87_07980	ABUW_1237	HKO16_12350			
N0.HOG0002412	OG0002342	n0	GO593_00915	IX87_08040	ABUW_1225	HKO16_12405			
N0.HOG0002413	OG0002343	n0	GO593_00985	IX87_08110	ABUW_1211	HKO16_12475			
N0.HOG0002414	OG0002344	n0	GO593_00990	IX87_08115	ABUW_1210	HKO16_12480			
N0.HOG0002415	OG0002345	n0	GO593_01015	IX87_08140	ABUW_1205	HKO16_12505			
N0.HOG0002416	OG0002346	n0	GO593_01025	IX87_08530	ABUW_1203	HKO16_12515			
N0.HOG0002417	OG0002347	n0	GO593_01085	IX87_08600	ABUW_1191	HKO16_12575			
N0.HOG0002418	OG0002348	n0	GO593_01095	IX87_08610	ABUW_1189	HKO16_12585			
N0.HOG0002419	OG0002349	n0	GO593_01115	IX87_08630	ABUW_1185	HKO16_12605			
N0.HOG0002420	OG0002350	n0	GO593_01125	IX87_08640	ABUW_1183	HKO16_12615			
N0.HOG0002421	OG0002351	n0	GO593_01130	IX87_08645	ABUW_1182	HKO16_12620			
N0.HOG0002422	OG0002352	n0	GO593_01170	IX87_08685	ABUW_1174	HKO16_12660			
N0.HOG0002423	OG0002353	n0	GO593_01175	IX87_08690	ABUW_1173	HKO16_12665			
N0.HOG0002424	OG0002354	n0	GO593_01255	IX87_08780	ABUW_1139				PA4958
N0.HOG0002425	OG0002355	n0	GO593_01305	IX87_08830	ABUW_1129	HKO16_12875			
N0.HOG0002426	OG0002356	n0	GO593_01310	IX87_08835	ABUW_1128	HKO16_12880			
N0.HOG0002427	OG0002357	n0	GO593_01350		ABUW_1120	HKO16_12920			PA1874
N0.HOG0002428	OG0002358	n0	GO593_01375	IX87_08900	ABUW_1115	HKO16_12945			
N0.HOG0002429	OG0002359	n0	GO593_01385	IX87_08910	ABUW_1113	HKO16_12955			
N0.HOG0002430	OG0002360	n0	GO593_01390	IX87_08915	ABUW_1112	HKO16_12960			
N0.HOG0002431	OG0002361	n0	GO593_01395	IX87_08920	ABUW_1111	HKO16_12965			
N0.HOG0002432	OG0002362	n0	GO593_01400	IX87_08925	ABUW_1110	HKO16_12970			
N0.HOG0002433	OG0002363	n0	GO593_01440	IX87_08965	ABUW_1102	HKO16_13010			
N0.HOG0002434	OG0002364	n0	GO593_01455	IX87_08980	ABUW_1099	HKO16_13025			
N0.HOG0002435	OG0002365	n0	GO593_01480	IX87_09005	ABUW_1084	HKO16_13050			
N0.HOG0002436	OG0002366	n0	GO593_01485	IX87_09010	ABUW_1083	HKO16_13055			
N0.HOG0002437	OG0002367	n0	GO593_01505	IX87_09030	ABUW_1079	HKO16_13075			
N0.HOG0002438	OG0002368	n0	GO593_01520	IX87_09040	ABUW_1076	HKO16_13090			
N0.HOG0002439	OG0002369	n0	GO593_01545	IX87_09065	ABUW_1071	HKO16_13115			
N0.HOG0002440	OG0002370	n0	GO593_01550	IX87_09070	ABUW_1070	HKO16_13120			
N0.HOG0002441	OG0002371	n0	GO593_01570	IX87_09090	ABUW_1066	HKO16_13140			
N0.HOG0002442	OG0002372	n0	GO593_01575	IX87_09095	ABUW_1065	HKO16_13145			
N0.HOG0002443	OG0002373	n0	GO593_01580	IX87_09100	ABUW_1064	HKO16_13150			
N0.HOG0002444	OG0002374	n0	GO593_01585	IX87_09105	ABUW_1063	HKO16_13155			
N0.HOG0002445	OG0002375	n0	GO593_01590	IX87_09110	ABUW_1062	HKO16_13160			
N0.HOG0002446	OG0002376	n0	GO593_01600	IX87_09120	ABUW_1060	HKO16_13170			
N0.HOG0002447	OG0002377	n0	GO593_01625	IX87_09145	ABUW_1055	HKO16_13195			
N0.HOG0002448	OG0002378	n0	GO593_01640	IX87_09160	ABUW_1052	HKO16_13210			
N0.HOG0002449	OG0002379	n0	GO593_01645	IX87_09165	ABUW_1051	HKO16_13215			
N0.HOG0002450	OG0002380	n0	GO593_01670	IX87_09200	ABUW_1046	HKO16_13240			
N0.HOG0002451	OG0002381	n0	GO593_01675	IX87_09205	ABUW_1045	HKO16_13245			
N0.HOG0002452	OG0002382	n0	GO593_01680	IX87_09210	ABUW_1044	HKO16_13250			
N0.HOG0002453	OG0002383	n0	GO593_01695			HKO16_13265	BW25113_0650	b0650	
N0.HOG0002454	OG0002384	n0	GO593_01710	IX87_09230	ABUW_1040	HKO16_13280			
N0.HOG0002455	OG0002385	n0	GO593_01745	IX87_09260	ABUW_1034	HKO16_13315			
N0.HOG0002456	OG0002386	n0	GO593_01840	IX87_09355	ABUW_1015	HKO16_13415			
N0.HOG0002457	OG0002387	n0	GO593_01860	IX87_09375	ABUW_1011	HKO16_13435			
N0.HOG0002458	OG0002388	n0	GO593_01865	IX87_09380	ABUW_1010	HKO16_13440			
N0.HOG0002459	OG0002389	n0	GO593_01880	IX87_09395	ABUW_1007	HKO16_13455			
N0.HOG0002460	OG0002390	n0	GO593_01940	IX87_09460	ABUW_0994	HKO16_13685			
N0.HOG0002461	OG0002391	n0	GO593_01955	IX87_09475	ABUW_0991	HKO16_13700			
N0.HOG0002462	OG0002392	n0	GO593_01965	IX87_09485	ABUW_0989	HKO16_13710			
N0.HOG0002463	OG0002393	n0	GO593_01970	IX87_09490	ABUW_0988	HKO16_13715			
N0.HOG0002464	OG0002394	n0	GO593_01975	IX87_09495	ABUW_0987	HKO16_13720			
N0.HOG0002465	OG0002395	n0	GO593_01980	IX87_09500	ABUW_0986	HKO16_13725			
N0.HOG0002466	OG0002396	n0	GO593_01985	IX87_09505	ABUW_0985	HKO16_13730			
N0.HOG0002467	OG0002397	n0	GO593_01990	IX87_09520	ABUW_0984	HKO16_13735			
N0.HOG0002468	OG0002398	n0	GO593_02025	IX87_09555	ABUW_0977	HKO16_13770			
N0.HOG0002469	OG0002399	n0	GO593_02055	IX87_09585	ABUW_0971	HKO16_13800			
